headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
"Hello, World. It’s Been a While.",2022-08-01,nyt://article/ab920e95-4eb9-561c-84c8-ecb5286d3766,article,News,Style,"['Books and Literature', 'Coronavirus (2019-nCoV)']",8,990,Styles
Bill Russell Paved the Way for Black Coaches to Defy Doubters,2022-08-01,nyt://article/2811bdc4-31ca-5050-97ad-557944113b6f,article,News,Sports,"['Coaches and Managers', 'Black People', 'Blacks', 'Basketball', 'Hiring and Promotion', 'Athletics and Sports', 'Discrimination']",4,1263,Sports
What We Know About the Victims in the Kentucky Flooding,2022-08-01,nyt://article/53f31a7a-3f9c-536d-a51b-128157614047,article,News,U.S.,"['Floods', 'Deaths (Fatalities)']",11,2057,National
What the Floods Left Behind: A Devastated Kentucky Views the Damage,2022-08-01,nyt://article/a7b814ae-9955-560b-bada-5943b62d04d2,article,News,U.S.,"['Floods', 'Deaths (Fatalities)', 'vis-photo']",,549,National
Deshaun Watson Suspended Six N.F.L. Games for Sexual Misconduct,2022-08-01,nyt://article/42bff608-7742-5591-9fae-7ff9c51bf8c9,article,News,Sports,"['Football', 'Suits and Litigation (Civil)', 'Sexual Harassment', 'Fines (Penalties)']",7,1571,Sports
"War, Climate Change, Energy Costs: How the Wheat Market Has Been Upended",2022-08-01,nyt://article/12bce18e-b96c-5e3b-afe2-cc40d67d3454,article,News,Business Day,"['Russian Invasion of Ukraine (2022)', 'Prices (Fares, Fees and Rates)', 'International Relations', 'Wheat', 'Food', 'Shortages', 'Fertilizer', 'Global Warming', 'Futures and Options Trading']",1,1333,Business
"Bill Russell’s Legacy, and Laugh, Touched Millions",2022-08-01,nyt://article/2967c0b4-05bd-5dcf-950f-c36caddb3611,article,News,Sports,['Basketball'],1,1210,Sports
"Using Nuclear Reactors for Cover, Russians Lob Rockets at Ukrainians",2022-08-01,nyt://article/6ba4f675-33f0-515b-811c-b25261711306,article,News,World,"['Russian Invasion of Ukraine (2022)', 'Nuclear Energy', 'Defense and Military Forces']",1,1353,Foreign
Quotation of the Day: Housing Costs Turn Into Crisis in Resort Town,2022-08-01,nyt://article/af6f313a-648d-536b-8b70-7353976b92a3,article,News,Today’s Paper,[],,49,Summary
Your Monday Briefing,2022-08-01,nyt://article/2228c5df-e517-57e4-a521-693ec1f1ca7b,article,briefing,Briefing,"['International Relations', 'Elections', 'War and Armed Conflicts', 'Deaths (Fatalities)', 'Russian Invasion of Ukraine (2022)', 'Immigration and Emigration']",,1316,NYTNow
Kentucky Floods Leave Behind Devastation,2022-08-01,nyt://video/d047e544-39d9-5aa3-9eb5-8a07abb7b253,multimedia,Video,U.S.,"['Floods', 'Deaths (Fatalities)']",,0,
"No Corrections: August 1, 2022",2022-08-01,nyt://article/aa6479fb-5725-554a-93a6-146b8a17bcdb,article,News,Corrections,[],,52,National
What’s on TV This Week: CMA Fest and ‘Becoming Elizabeth’,2022-08-01,nyt://article/36f8c1de-e8e7-55e4-b92d-e49ac84f7653,article,News,Arts,"['Television', 'Movies']",4,916,Culture
The Fantasy of Brexit Britain Is Over,2022-08-01,nyt://article/4240b7a8-ee23-5c06-bf3a-987420f26332,article,Op-Ed,Opinion,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']",4,1183,OpEd
