headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
"For Better Health, Try Fitness From the Inside Out",2022-04-01,nyt://article/0115da20-943c-52dc-8992-817faa170aa1,article,News,Well,"['Content Type: Service', 'Anxiety and Stress', 'Meditation', 'Exercise']",,1235,Well
"Patrick Demarchelier, Fashion Photographer, Dies at 78",2022-04-01,nyt://article/65deead0-0d23-5e5c-9926-aeb18958abc9,article,Obituary (Obit),Style,"['Deaths (Obituaries)', 'Magazines', 'Models (Professional)', 'Fashion and Apparel', 'Photography', 'Sexual Harassment']",26,897,Obits
"‘The Bubble’ Review: Swabs, Camera, Action",2022-04-01,nyt://article/5f5fe2db-b93a-5f1d-a99c-5880fd0d0c78,article,Review,Movies,['Movies'],17,307,Weekend
This Might Help Clear Things Up,2022-04-01,nyt://article/23774e4c-1745-5520-9380-d08c8f693585,article,News,Crosswords & Games,"['Crossword Puzzles', ""APRIL FOOL'S DAY""]",,427,Games
Variety: Marching Bands,2022-04-01,nyt://article/eb7314c7-f426-59db-be3b-f3df4e32fa51,article,News,Crosswords & Games,"['Crossword Puzzles', 'Marching Bands']",,476,Games
E.P.A. Decides Against Limiting Perchlorate in Drinking Water,2022-04-01,nyt://article/823af30e-3f10-5669-a34d-ea25e6763c57,article,News,Climate,"['Global Warming', 'Greenhouse Gas Emissions', 'Perchlorate', 'Hazardous and Toxic Substances', 'Regulation and Deregulation of Industry', 'Thyroid Gland']",,666,Climate
Two Swimmers Take a Deep Breath Together,2022-04-01,nyt://article/2ae66aa6-7682-5811-92c3-cd2705098a73,article,News,Style,['Weddings and Engagements'],12,701,Styles
Picking Him Out From a Crowd,2022-04-01,nyt://article/55634916-899f-5ff5-bbe4-ed98d742307a,article,News,Style,['Weddings and Engagements'],11,640,Styles
Before Love Came a Lot of Likes,2022-04-01,nyt://article/abc7ad36-2202-541d-bbf4-265e76b773ac,article,News,Style,['Weddings and Engagements'],12,713,Styles
"From the Start, Their Relationship Was ‘Uglies’",2022-04-01,nyt://article/edb3dcdb-eb7e-5c0d-ae60-cb10dc7e0d9f,article,News,Style,['Weddings and Engagements'],13,695,Styles
