headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
Russia Is a Potemkin Superpower,2022-03-01,nyt://article/60caff94-4aaa-5bf7-88ae-61fece510fd1,article,Op-Ed,Opinion,"['Russian Invasion of Ukraine (2022)', 'Ruble (Currency)', 'Embargoes and Sanctions']",22,882,OpEd
What We’re Watching in Tuesday’s Texas Primary Election,2022-03-01,nyt://article/b0e30a78-8b30-5d51-a5cf-7d42c479ac44,article,News,U.S.,"['United States Politics and Government', 'internal-sub-only-nl', 'Elections, Governors', 'Primaries and Caucuses', 'Midterm Elections (2022)']",,1411,Politics
"In State of the Union, Biden Will Focus on Economy and Global Response to Russia",2022-03-01,nyt://article/7f1b9401-cdcf-5919-8894-034681655d6d,article,News,U.S.,"['United States Economy', 'United States International Relations', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'State of the Union Message (US)', 'Russian Invasion of Ukraine (2022)']",18,1079,Washington
G.O.P. Leaders Condemn Lawmakers’ Appearance at White Nationalist Conference,2022-03-01,nyt://article/9b1a4ff4-fd6b-50b2-ae26-a50dd4d44047,article,News,U.S.,"['United States Politics and Government', 'Anti-Semitism', 'Right-Wing Extremism and Alt-Right']",17,1344,Washington
"Richard Blum, Political Donor and Husband of Senator Feinstein, Dies at 86",2022-03-01,nyt://article/9edba9b7-d940-5ce4-ac3b-2fc97179ef99,article,Obituary (Obit),U.S.,"['United States Politics and Government', 'Deaths (Obituaries)', 'Philanthropy', 'Campaign Finance']",21,676,Obits
A few members of the Russian Parliament speak out against the war.,2022-03-01,nyt://article/ba404688-280d-505a-b39f-d82b4048e8e8,article,News,World,['Russian Invasion of Ukraine (2022)'],,443,Foreign
Republicans Block Abortion Rights Measure in Senate,2022-03-01,nyt://article/864db5ae-f2ed-5fb5-a277-26a87726c4a0,article,News,U.S.,"['Law and Legislation', 'United States Politics and Government', 'Abortion', 'Roe v Wade (Supreme Court Decision)']",15,777,Washington
"Bracing for Biden and Protests, Officials Fortify the Capitol",2022-03-01,nyt://article/e0e49ea7-47b5-5007-9208-3ed03bc60da7,article,News,U.S.,"['Storming of the US Capitol (Jan, 2021)', 'Security and Warning Systems', 'United States Politics and Government', 'Capitol Building (Washington, DC)', 'State of the Union Message (US)', 'Demonstrations, Protests and Riots']",19,780,Washington
The U.S. expels 12 Russian diplomats for spying as Ukraine dominates action at the U.N.,2022-03-01,nyt://article/9e37eca3-b18a-5b9f-ac84-475df33e9d77,article,News,World,['Russian Invasion of Ukraine (2022)'],,535,Foreign
Ukraine Gets $22 Million in Crypto Donations to Fight Invasion,2022-03-01,nyt://article/7be378c4-0cd7-588c-ba24-8d7b548bf6a0,article,News,Business Day,"['Russian Invasion of Ukraine (2022)', 'Virtual Currency', 'War and Armed Conflicts', 'Defense and Military Forces', 'Politics and Government', 'Crowdfunding (Internet)', 'Computers and the Internet']",5,377,Business
