headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
‘Defund the Police’ Is Dead. Now What?,2022-09-01,nyt://article/9bcc81a7-7555-50b3-af1c-0743bd82dd54,article,Op-Ed,Opinion,"['Police Brutality, Misconduct and Shootings', 'Police Reform', 'Criminal Justice', 'Race and Ethnicity', 'Black People', 'Blacks', 'Black Lives Matter Movement', 'United States Politics and Government']",,863,OpEd
"Mary Peltola, a Democrat, Defeats Sarah Palin in Alaska’s Special House Election",2022-09-01,nyt://article/ee36e5da-abd1-5596-a53e-e33f06482052,article,News,U.S.,"['Elections, House of Representatives', 'Midterm Elections (2022)']",12,1163,Politics
How Reagan and Bush Overcame Skepticism to Collaborate With Gorbachev,2022-09-01,nyt://article/182086d4-18cb-5905-af6f-541bf13c97c3,article,News,U.S.,"['Cold War Era', 'Arms Control and Limitation and Disarmament', 'Politics and Government', 'Russian Invasion of Ukraine (2022)', 'Strategic Arms Reduction Treaty', 'Nuclear Weapons', 'United States International Relations']",7,1354,Washington
Who’s Who in Serena Williams’s Player’s Box,2022-09-01,nyt://interactive/92bc6ac7-54cc-567d-9180-824c6a6c3b95,multimedia,Interactive Feature,Sports,['United States Open (Tennis)'],,0,Sports
Alaska Governor Primary Election Results,2022-09-01,nyt://interactive/37e84592-1852-5235-af8a-13849b55e85c,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Governors']",,0,Graphics
Alaska At-Large Congressional District Special Election Results,2022-09-01,nyt://interactive/b73ad3c8-4a08-5134-bdc0-96f2f0b58ee3,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",,0,Graphics
Wyoming Secretary of State Primary Election Results,2022-09-01,nyt://interactive/d0c632db-c776-567a-b32e-f512177b996a,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Secretary of State']",,0,Graphics
Wyoming Governor Primary Election Results,2022-09-01,nyt://interactive/0641e748-1530-5381-8fdf-294008c39d28,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Governors']",,0,Graphics
Alaska At-Large Congressional District Primary Election Results,2022-09-01,nyt://interactive/395b940b-a272-5f4b-aff4-150603b1b206,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, House of Representatives']",,0,Graphics
Alaska U.S. Senate Primary Election Results,2022-09-01,nyt://interactive/a5aea2a4-9fc8-56b0-adac-04afe581a882,multimedia,,U.S.,"['Midterm Elections (2022)', 'Elections', 'Primaries and Caucuses', 'Elections, Senate']",,0,Graphics
U.S. Restricts Sales of Sophisticated Chips to China and Russia,2022-09-01,nyt://article/a0d1b1d4-396b-5017-bf10-de64b3e2f8f1,article,News,Technology,"['Computers and the Internet', 'Computer Chips', 'International Trade and World Market']",4,814,Business
Serena Williams’s Magical Run at the U.S. Open Isn’t Over Yet,2022-09-01,nyt://article/528ee250-f930-5c1f-877c-1e2dcb3ff2f6,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",8,1200,Sports
Jumbo Jet,2022-09-01,nyt://article/d4658ec7-b150-5ee7-b48e-8fd71abd2874,article,News,Crosswords & Games,['Crossword Puzzles'],,768,Games
Serena Williams Will Face Ajla Tomljanovic in the Third Round,2022-09-01,nyt://article/7759eb54-54a9-55d0-a337-722e1541ee32,article,News,Sports,"['Tennis', 'United States Open (Tennis)']",,486,Sports
