headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
The U.S. orders families of its embassy staff in Belarus to leave the country.,2022-02-01,nyt://article/5da54961-32b6-5b88-bad1-2ef7a5f8d670,article,News,World,"['Politics and Government', 'United States International Relations']",,370,Foreign
Meet the People Getting Paid to Kill Our Planet,2022-02-01,nyt://video/395d8562-7395-5c28-b813-ee3490ca915d,multimedia,Video,Opinion,"['Agriculture and Farming', 'Greenhouse Gas Emissions', 'Factory Farming', 'Global Warming', 'Water Pollution', 'Regulation and Deregulation of Industry', 'Environment', 'your-feed-opinionvideo']",,0,
4 Climate Issues N.Y.C. Will Face This Year,2022-02-01,nyt://interactive/78fb7ded-c876-581b-bb53-99ea4ff2a9a0,multimedia,Interactive Feature,New York,"['Greenhouse Gas Emissions', 'Appointments and Executive Changes', 'Alternative and Renewable Energy', 'Solar Energy']",,0,New York
How Do You Celebrate Your Culture Through Food?,2022-02-01,nyt://article/07f44eb9-9b6f-59d8-97d6-d4f10e01d772,article,News,The Learning Network,[],,918,Learning
These Characters Study Abroad in Berlin. It Doesn’t Go Well.,2022-02-01,nyt://article/752f7c8d-444f-544a-b368-ed25259366ba,article,Review,Books,['Books and Literature'],8,901,BookReview
"A Celebration of Rap, and a Shrewd Study of Its Lyricism",2022-02-01,nyt://article/074d0bc9-c5da-5572-92bb-bd9bc8746308,article,Review,Books,"['Books and Literature', 'Rap and Hip-Hop']",,760,BookReview
A Mother and Daughter Go Sightseeing. They See Each Other.,2022-02-01,nyt://article/0f91243f-2db8-53b5-b395-8c928ec62a06,article,Review,Books,['Books and Literature'],18,603,BookReview
How to Ski Blind,2022-02-01,nyt://article/59c63ff7-c072-50bd-ac8e-83b8defb40c9,article,News,Magazine,"['Skiing', 'Content Type: Service', 'Blindness', 'Disabilities']",21,391,Magazine
Chuck Klosterman Rewinds to ‘The Nineties’,2022-02-01,nyt://article/703700c4-2e52-5268-a471-384b0caacc70,article,Review,Books,"['Books and Literature', 'Nineteen Hundred Nineties']",2,969,Culture
I’m Lactose Intolerant. What’s the Best Nondairy Milk Alternative?,2022-02-01,nyt://article/bc17891f-deb7-5678-b792-24e9f5d11f4c,article,News,Well,"['Dairy Products', 'Milk', 'Diet and Nutrition', 'Content Type: Service']",6,705,Well
"A Novel About Abortion, Told From Inside and Outside a Clinic",2022-02-01,nyt://article/64b0703a-b297-5d4a-9af6-bde12cb03590,article,Review,Books,['Books and Literature'],1,1634,BookReview
‘The Violin Conspiracy’ Is a Musical Thriller With Some Unexpected Notes,2022-02-01,nyt://article/d713320d-dda8-522c-9702-0d99d66d0177,article,Review,Books,"['Books and Literature', 'genre-books-thriller']",8,752,BookReview
Hollywood Came to China; It Was Epic.,2022-02-01,nyt://article/9313d1b8-dfad-5f98-8103-ef5a118bbb8b,article,Review,Books,"['Books and Literature', 'Movies', 'Propaganda', 'Censorship']",1,1173,BookReview
I’m Thankful Every Day for the Decision I Made After My Prenatal Tests,2022-02-01,nyt://article/97f57723-519e-5845-9786-ca05f5b19c27,article,Op-Ed,Opinion,"['Prenatal Testing', 'Pregnancy and Childbirth', 'Tests (Medical)', 'Amniocentesis', 'Abortion', 'Down Syndrome', 'Children and Childhood', 'Parenting']",19,1326,OpEd
Write It in Garamond,2022-02-01,nyt://article/a3fdebc4-9dce-5ba0-beae-550baaefc2c0,article,News,Magazine,"['Typography', 'Design', 'Writing and Writers']",20,915,Magazine
Your Mother Died. Now She Wants to Tell You Her Secrets.,2022-02-01,nyt://article/d701cd7f-9d7e-5f2b-9401-bcebf1047b4a,article,News,Books,['Books and Literature'],12,862,BookReview
Democrats Chase Shiny Objects. Here’s How They Can Build Real Power.,2022-02-01,nyt://article/ef5b723f-b6db-56ca-8455-5c67b4213ea6,article,Op-Ed,Opinion,"['Democracy (Theory and Philosophy)', 'United States Politics and Government']",,466,OpEd
Billionaires and Big Checks Shape Battle for Congress,2022-02-01,nyt://article/782ceb46-6775-5333-a1ac-4b368c617b9c,article,News,U.S.,"['Campaign Finance', 'Midterm Elections (2022)']",13,1042,Politics
"Sex, Lies and Infidelity on a Small College Campus",2022-02-01,nyt://article/83565b05-b78a-55f7-b47d-8e4a7375bb1f,article,Review,Books,['Books and Literature'],13,912,BookReview
"Ready, Set, Gerrymander!",2022-02-01,nyt://article/8c1811fd-b728-5cb7-be1e-67155dd6682c,article,News,Times Insider,"['Redistricting and Reapportionment', 'Maps', 'State Legislatures']",2,697,Summary
Unhappy Families Abound in These New Books About Fathers and Sons,2022-02-01,nyt://article/98240bd2-2d37-5bee-81d1-87858bb86e56,article,News,Books,['Books and Literature'],22,1221,BookReview
Is It OK That I’m OK With Our Mom’s Adultery?,2022-02-01,nyt://article/f041f89c-cb8f-5681-9629-ebaaa9fa5f5f,article,News,Magazine,"['Ethics (Personal)', 'Content Type: Service']",16,1476,Magazine
"For This Mountaineer, Everest Was a Challenge and a Path to Peace",2022-02-01,nyt://article/502d77c7-cfbf-5de0-a726-bd19cf8a8b40,article,Review,Books,"['Books and Literature', 'Mountaineering', 'Content Type: Personal Profile']",,723,Books
Let’s Bring the Supreme Court Back Down to Earth,2022-02-01,nyt://article/24aa5bde-9e15-51b5-b210-f7b9de7991b8,article,Op-Ed,Opinion,"['Appointments and Executive Changes', 'United States Politics and Government', 'Courts and the Judiciary']",,1465,OpEd
How to Wake Up Your Staircase,2022-02-01,nyt://article/3898649b-f93a-5181-9c64-0ca1b3664728,article,News,Real Estate,"['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Interior Design and Furnishings']",8,1248,RealEstate
"On the Cajun Coast, a Chef Grapples With Threats to a Seafood Tradition",2022-02-01,nyt://article/774ced7a-c959-5017-8f75-710e7f707530,article,News,Food,"['Hurricane Ida (2021)', 'Fish Farming', 'Seafood', 'Restaurants', 'Hurricanes and Tropical Storms', 'Coast Erosion', 'Fishing, Commercial', 'Content Type: Personal Profile']",1,1765,Dining
Meet the People Getting Paid to Kill Our Planet,2022-02-01,nyt://article/e1a19a8b-668b-5e79-a91a-765128f1692f,article,Op-Ed,Opinion,"['Agriculture and Farming', 'Factory Farming', 'Global Warming', 'Lobbying and Lobbyists', 'Water Pollution', 'Air Pollution', 'Carbon Monoxide', 'Methane', 'Regulation and Deregulation of Industry', 'United States Politics and Government', 'your-feed-opinionvideo']",,451,OpEd
"A Town That Saved a Mountain, and a Mountain That Saved a Town",2022-02-01,nyt://article/3fbfb662-078f-51f3-8399-4edd779840d2,article,News,Travel,"['Skiing', 'Snow and Snowstorms', 'Nonprofit Organizations', 'Parks and Other Recreation Areas', 'Travel and Vacations', 'Global Warming']",6,1731,Travel
Little of the Paycheck Protection Program’s $800 Billion Protected Paychecks,2022-02-01,nyt://article/4e34b5f6-672f-5c89-b13d-5e242f756267,article,News,Business Day,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Layoffs and Job Reductions', 'Small Business', 'Wages and Salaries', 'Coronavirus (2019-nCoV)', 'Stimulus (Economic)']",1,1405,Business
I Wouldn’t Bet on the Kind of Democracy Big Business Is Selling Us,2022-02-01,nyt://article/6e639990-d455-570e-9b6d-4f8a114e1103,article,Op-Ed,Opinion,"['Corporate Social Responsibility', 'Strikes', 'Wages and Salaries', 'Income Inequality', 'Labor and Jobs', 'United States Economy', 'Organized Labor', ""Great Depression (1930's)"", 'Global Warming']",3,1208,OpEd
"With Low-Tech, Trench Warfare, Ukraine’s Army Isn’t NATO Caliber",2022-02-01,nyt://article/03be4863-c7ac-5328-9156-f81f8244a43e,article,News,World,"['War and Armed Conflicts', 'Defense and Military Forces']",9,1192,Foreign
Can Jennifer Lopez Save the Rom-Com?,2022-02-01,nyt://article/42d691a5-c58d-5065-b9ab-e3537866a6d8,article,News,Movies,"['Movies', 'Content Type: Personal Profile', 'Actors and Actresses']",10,1686,Arts&Leisure
"Despite Labor Shortages, Workers See Few Gains in Economic Security",2022-02-01,nyt://article/796c1601-3b5e-5217-ba9b-819f21fe5b27,article,News,Business Day,"['Part-Time Employment', 'Working Hours', 'Organized Labor', 'Wages and Salaries', 'Service Industries', 'Supermarkets and Grocery Stores', 'United States Economy']",1,1617,Business
"As the U.S. Pulls Back From the Mideast, China Leans In",2022-02-01,nyt://article/cb421998-7f6c-5255-baed-59e8c8db8890,article,News,World,"['United States International Relations', 'Foreign Investments', 'Belt and Road Initiative (China)', 'International Relations', 'Oil (Petroleum) and Gasoline', 'Uighurs (Chinese Ethnic Group)']",5,1369,Foreign
"Elana Meyers Taylor, a Star U.S. Bobsledder, Tests Positive in Beijing",2022-02-01,nyt://article/01e0ffd6-1bbe-5b53-a9b8-4dde2a6b142d,article,News,Sports,"['Olympic Games (2022)', 'Coronavirus (2019-nCoV)', 'Bobsledding']",,920,Sports
