headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
"U.S. to Send Ukraine $700 Million in Military Aid, Including Advanced Rockets",2022-06-01,nyt://article/09f1e20a-5d5b-5908-875b-830f45c71bf0,article,News,U.S.,"['Russian Invasion of Ukraine (2022)', 'United States Politics and Government', 'Defense and Military Forces']",9,964,Washington
"Alligator Kills Florida Man Retrieving Frisbees in Lake, Officials Say",2022-06-01,nyt://article/7e2ae77b-4d75-5b1b-9773-51f37d7551af,article,News,U.S.,"['Alligators', 'Frisbees', 'Deaths (Fatalities)', 'Parks and Other Recreation Areas']",,683,Express
"Corrections: June 1, 2022",2022-06-01,nyt://article/0b55b248-0bfe-503d-8bcc-18f5d33a7589,article,Correction,Corrections,[],21,440,Corrections
"Quotation of the Day: Allinllachu, World: Quechua Joins Google Translate",2022-06-01,nyt://article/bccb0fd1-5bbe-5889-a2f6-363851738dc9,article,Quote,Today’s Paper,[],3,30,Summary
Sarah Palin’s Bid for New Libel Trial Against The Times Is Denied,2022-06-01,nyt://article/a82cb17f-3a34-544d-8f6d-66351480bc43,article,News,Business Day,"['Libel and Slander', 'Suits and Litigation (Civil)', 'Newspapers']",4,534,Business
Your Wednesday Briefing,2022-06-01,nyt://article/c24f633a-6b28-5e52-8d36-a581855c91b3,article,briefing,Briefing,[],,1217,NYTNow
"Ready When You Are, Terminal C Is Now an Art Destination",2022-06-01,nyt://article/4ab71df4-d7ee-5882-8797-155224477181,article,News,Arts,"['Art', 'Airports', 'Restoration and Renovation', 'Sculpture', 'AIRLINES AND AIRPLANES']",1,1634,Culture
"The Lightning Are Trying to Three-Peat. A Ranger Is, Too.",2022-06-01,nyt://article/2dd5ab25-5b8e-52dd-a7cd-a71c5630fb77,article,News,Sports,"['Hockey, Ice', 'Stanley Cup']",9,1044,Sports
"At the U.S. Women’s Open, Michelle Wie West Reflects on an ‘Amazing Journey’",2022-06-01,nyt://article/f28b6c60-3009-5392-8ceb-36c19b09286b,article,News,Sports,"['Golf', ""United States Women's Open (Golf)"", 'Women and Girls', 'Content Type: Personal Profile']",11,977,Sports
"Dustin Johnson, In Field for Rival Golf League, Dropped by Sponsor",2022-06-01,nyt://article/1ae1345c-1ab2-5ae7-832c-ca092e51d9bb,article,News,Sports,"['Golf', 'Sovereign Wealth Funds']",7,787,Sports
‘We Are About to Lose a Lot More Lives and Limbs’: Ukraine Girds for a Wave of Amputees,2022-06-01,nyt://article/fca1e539-7594-5487-a622-21f311ada7a5,article,News,World,"['Russian Invasion of Ukraine (2022)', 'Prostheses', 'AMPUTATION', 'Factories and Manufacturing']",,635,Foreign
Spelling Bee Forum,2022-06-01,nyt://article/51bf387b-c1cd-5fbe-a5a8-a9db989e1455,article,News,Crosswords & Games,[],,227,Games
A Cartoon Producer Turned War Reporter,2022-06-01,nyt://article/c3bae1f1-3be9-56c4-8369-29816340cff6,article,News,Times Insider,"['Russian Invasion of Ukraine (2022)', 'News and News Media', 'Cartoons and Cartoonists', 'Defense and Military Forces', 'Evacuations and Evacuees']",2,806,Insider
