headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
Let’s End the Covid Blame Games,2021-12-01,nyt://article/4e2abcbc-9563-56c0-bf18-c93ce4e78da2,article,Op-Ed,Opinion,"['Coronavirus Omicron Variant', 'Coronavirus (2019-nCoV)', 'Politics and Government', 'Vaccination and Immunization', 'Rural Areas', 'Rumors and Misinformation', 'Deaths (Fatalities)']",22,918,OpEd
Trump’s Iran Policy Has Become a Disaster for the U.S. and Israel,2021-12-01,nyt://article/f7a5e7ef-e4cd-575c-a0e1-ff4d18d56979,article,Op-Ed,Opinion,"['Nuclear Weapons', 'Embargoes and Sanctions', 'United States International Relations']",22,1560,OpEd
This Extinct Eagle May Have Gulped Guts Like a Vulture,2021-12-01,nyt://article/778af86c-b600-5aeb-be98-0a9a1aa18e18,article,News,Science,"['Eagles (Birds)', 'Vultures (Birds)', 'Condors', 'Endangered and Extinct Species', 'Paleontology', 'Caves and Caverns', 'Research', 'your-feed-science', 'your-feed-animals']",5,913,Science
Republican Recriminations Point to a Rocky Path to a House Majority,2021-12-01,nyt://article/fb7763c2-0f41-5c81-9ecf-17607ba52540,article,News,U.S.,"['Conservatism (US Politics)', 'Right-Wing Extremism and Alt-Right', 'United States Politics and Government']",15,1172,Washington
A Times editor who attended Oxford recalls a decade-old shooting drill.,2021-12-01,nyt://article/ba0afd37-0c00-5535-8868-21130e28d81b,article,News,U.S.,['School Shootings and Armed Attacks'],,309,National
The Clock Is Ticking as Baseball Veers Toward a Lockout,2021-12-01,nyt://article/7801daea-2266-59b4-9492-99f803a3638d,article,News,Sports,"['Baseball', 'Organized Labor', 'Lockouts', 'Collective Bargaining']",9,973,Sports
24 Days of Cookies,2021-12-01,nyt://interactive/a6c20e0d-f0a3-5f2b-97c3-7b4536d427d8,multimedia,Interactive Feature,Food,"['Cookies', 'Cooking and Cookbooks', 'Recipes', 'Christmas', 'Holidays and Special Occasions']",8,0,Food
"Omicron Variant, in at Least 20 Nations, Spread Earlier Than Was Known",2021-12-01,nyt://article/1d1b2549-275a-597a-a708-0133b7a07e7c,article,News,World,"['Coronavirus Omicron Variant', 'Travel Warnings', 'Vaccination and Immunization', 'Disease Rates']",1,1334,Foreign
Accuser Describes Maxwell and Epstein Ensnaring and Abusing Her at 14,2021-12-01,nyt://article/54f1c312-39b5-5da7-a442-ba56f7c52eb9,article,News,New York,"['Sex Crimes', 'Child Abuse and Neglect', 'Prostitution', 'Human Trafficking']",16,1116,Metro
Appeals Court Questions Trump’s Bid for Secrecy on Jan. 6 Papers,2021-12-01,nyt://article/e48a438c-f61b-5787-b08f-0dca8af3f27a,article,News,U.S.,"['Executive Privilege, Doctrine of', 'Storming of the US Capitol (Jan, 2021)', 'Suits and Litigation (Civil)', 'Archives and Records', 'Subpoenas', 'Appeals Courts (US)', 'United States Politics and Government']",15,932,Washington
"Corrections: Dec. 1, 2021",2021-12-01,nyt://article/bfb5b0f1-97fb-58e1-b573-2564d7a56460,article,Correction,Corrections,[],19,358,Corrections
"After 110 Years, an Overdue Book Is Returned to a Library in Idaho",2021-12-01,nyt://article/4fbed3c0-ff15-5da2-b108-4525cc140adb,article,News,U.S.,"['Books and Literature', 'Libraries and Librarians']",,761,Express
Investigator Cites Video and Other Evidence Against Jussie Smollett,2021-12-01,nyt://article/ef59ef4c-1764-5055-a99b-793acced0f96,article,News,Arts,"['Assaults', 'Hoaxes and Pranks', 'Hate Crimes', 'Homosexuality and Bisexuality']",,819,Culture
Send in the Clowns,2021-12-01,nyt://article/b34a096d-ce17-5fa4-bbd3-d0b5762b6c18,article,News,Crosswords & Games,['Crossword Puzzles'],,1208,Games
"Quotation of the Day: As Passengers Flew, Fear Ran Around World",2021-12-01,nyt://article/fb974d1f-d8e0-5f89-abf6-2216a9dcd7b6,article,Quote,Today’s Paper,[],3,43,Summary
"Andre Dickens, a Veteran City Council Member, Is Elected Mayor of Atlanta",2021-12-01,nyt://article/8c7ba939-e438-5320-aa98-31c2e3a5c0ea,article,News,U.S.,"['Elections, Mayors', 'Black People', 'Blacks']",19,847,National
LeBron James enters N.B.A. health and safety protocols.,2021-12-01,nyt://article/841eb4d3-a500-5d2e-aa68-6390c44b8455,article,News,World,['Coronavirus (2019-nCoV)'],,327,Foreign
The gun used in the Michigan school shooting was purchased by the suspect’s father.,2021-12-01,nyt://article/c00b3f0e-55c7-500c-81ec-c87c55ba83fc,article,News,U.S.,"['Weapons', 'Education (K-12)', 'School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)']",,113,National
The four victims killed in the school shooting were all students.,2021-12-01,nyt://article/71b8ec16-5d15-566b-996c-3debbb84c3f3,article,News,U.S.,"['Education (K-12)', 'School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)']",,319,National
Student Recounts Deadly Michigan School Shooting,2021-12-01,nyt://video/d726f02a-1107-5295-9986-acfc380d471d,multimedia,Video,U.S.,"['School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)', 'Deaths (Fatalities)']",,0,
Tucson Moves to Fire Officer Seen Fatally Shooting Man in Wheelchair,2021-12-01,nyt://article/ee575921-6427-5199-a215-5652dd0c733c,article,News,U.S.,"['Police Brutality, Misconduct and Shootings']",,752,Express
Is There a Way to Stop a Tom Brady-Bill Belichick Super Bowl?,2021-12-01,nyt://article/425087a3-f2e2-547f-8ef0-6edaaa737012,article,News,Sports,"['Football', 'Super Bowl']",10,1001,Sports
E.U. Interpreter Says Greece Expelled Him to Turkey in Migrant Roundup,2021-12-01,nyt://article/38cd38f4-aa72-5d2f-8581-f8fd3ca2ab73,article,News,World,"['Middle East and Africa Migrant Crisis', 'Immigration and Emigration', 'Politics and Government', 'Asylum, Right of', 'Human Rights and Human Rights Violations']",8,1201,Foreign
Your Wednesday Briefing,2021-12-01,nyt://article/eb20eec8-57f5-5f03-a821-deaa3c43e85a,article,briefing,Briefing,[],,1232,NYTNow
3 Students Are Killed in Michigan School Shooting,2021-12-01,nyt://article/cab9f1ab-86ff-58de-8b59-c926a32c0e77,article,News,U.S.,"['School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)']",1,1292,National
Late Night Doesn’t Feel Great About Omicron,2021-12-01,nyt://article/9a674429-18f9-5cb5-9c8c-50c9cc075cc7,article,News,Arts,['Television'],,611,Culture
Word of the Day: beset,2021-12-01,nyt://article/7672fe3f-6dce-5b04-9f7e-936725ea10ee,article,News,The Learning Network,[],,316,Learning
Giving,2021-12-01,nyt://article/390a124f-a071-5490-9d75-2d6b685c6124,article,News,The Learning Network,[],,118,Learning
Spelling Bee Forum,2021-12-01,nyt://article/0afea7b2-df15-549b-b4e3-6e026a16547e,article,News,Crosswords & Games,[],,160,Games
The Next Challenge to Vaccinating Africa: Overcoming Skepticism,2021-12-01,nyt://article/429264fd-8515-5238-9c72-ecd837d6561d,article,News,World,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Third World and Developing Countries']",10,1369,Foreign
The Help-Wanted Signs Are Up for Transit Workers,2021-12-01,nyt://article/9fc02082-e606-5085-82aa-977862384056,article,briefing,New York,"['Labor and Jobs', 'Drug Abuse and Traffic']",,1470,Metro
Lesson of the Day: ‘New “Variant of Concern” Fuels Global Fear of Another Virus Surge’,2021-12-01,nyt://article/65617db1-8f3c-58bf-9b7a-0d462823fbfc,article,News,The Learning Network,[],,690,Learning
What to Read: 4 New Illustrated Books,2021-12-01,nyt://interactive/67252e90-efb4-5628-877b-337c4862d02b,multimedia,Interactive Feature,Books,['Books and Literature'],,0,Books
Police Officer and 2 Women Are Killed in Atlanta-Area Shooting,2021-12-01,nyt://article/87405d62-4cba-555b-8629-a99a1f526d2a,article,News,U.S.,"['Domestic Violence', 'Murders, Attempted Murders and Homicides']",,492,Express
Mel Brooks Keeps It Very Light in ‘All About Me!’,2021-12-01,nyt://article/ca9c29b4-2b5c-54f4-ba52-9b031db83463,article,Review,Books,"['Books and Literature', 'Movies', 'Content Type: Personal Profile', 'Comedy and Humor']",7,940,Culture
How Your Health Care Could Change,2021-12-01,nyt://interactive/e8556629-e904-54ac-8db9-54384622028d,multimedia,Interactive Feature,The Upshot,"['Health Insurance and Managed Care', 'United States Politics and Government', 'Law and Legislation']",,0,The Upshot
Has the Myth of the ‘Good War’ Done Us Lasting Harm?,2021-12-01,nyt://article/7dc08de5-ee4a-5aca-a004-799eef1f7eca,article,Review,Books,"['Books and Literature', 'World War II (1939-45)', 'United States Defense and Military Forces', 'Afghanistan War (2001- )', 'War and Armed Conflicts']",1,1363,BookReview
"Magritte, Surrealism and the Pipe That Is Not a Pipe",2021-12-01,nyt://article/c08ba1fa-1d54-50b5-825d-c3bb562bee27,article,Review,Books,['Books and Literature'],18,1325,BookReview
Could Breaking Up Meta Make Things Worse?,2021-12-01,nyt://article/573ef823-87e0-56cf-8cc0-d6ace8019f5a,article,Op-Ed,Opinion,"['Antitrust Laws and Competition Issues', 'Social Media', 'Suits and Litigation (Civil)']",,340,OpEd
"After a Painful Split, a Functioning Family",2021-12-01,nyt://article/23ae665b-7595-5c44-8d1a-99572ea9ae9e,article,News,Style,"['Marriages', 'Divorce, Separations and Annulments', 'Dating and Relationships']",,1099,Styles
What’s Your Favorite Item of Clothing?,2021-12-01,nyt://article/75b0e6b2-423d-5b2f-9470-a91b7e15e20e,article,News,The Learning Network,['Fashion and Apparel'],,684,Learning
Why the Discredited Dossier Does Not Undercut the Russia Investigation,2021-12-01,nyt://article/80566db2-2590-5c28-b7af-3eb7611c6640,article,News,U.S.,"['Presidential Election of 2016', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",20,1456,Washington
How Staying Physically Active May Protect the Aging Brain,2021-12-01,nyt://article/9eb0a516-2bb2-5f3d-be21-b8f4d9ea651f,article,News,Well,"[""Alzheimer's Disease"", 'Memory', 'Exercise', 'Brain', 'Elderly', 'Content Type: Service', 'Rodents', 'Age, Chronological', 'Longevity']",6,1189,Well
Why It Might Be Difficult to Convict Andrew Cuomo of Forcible Touching,2021-12-01,nyt://article/aa6d5efb-de2c-5235-878c-1928185ded54,article,News,New York,"['Sex Crimes', 'Sexual Harassment', '#MeToo Movement', 'Workplace Hazards and Violations']",23,1493,Metro
A Cookie as Big as the Ritz,2021-12-01,nyt://article/daa87d89-ab71-5b24-9df3-6caac67a75fd,article,News,Magazine,"['Cookies', 'Bakeries and Baked Products', 'Cooking and Cookbooks', 'Recipes']",24,902,Magazine
